#true policy loss value birl, true policy loss value diff brex
0.348979, 0.00524032
0.0468258, 0.00430688
0.00572585, 0.00435192
0.054899, 0.00288285
0.0848355, 0.00564677
0.0172458, 0.00578594
0.147862, 0.00851387
0.398242, 0.00801904
0.936363, 0.00751732
2.50874, 0.00513869
1.45285, 0.00470745
4.59423, 0.00625132
0.300572, 0.00320606
0.00595949, 0.00823879
0.0845239, 0.00710015
0.243048, 0.00312048
2.42326, 0.00497878
0.0362117, 0.00789636
0.135717, 0.00787277
0.299787, 0.00559185
2.29493, 0.00348835
1.105, 0.00843252
0.0070579, 0.00500958
5.99541, 0.00233964
0.0136132, 0.00431056
0.0640785, 0.0036031
0.134715, 0.00397462
0.00549423, 0.00584527
3.1306, 0.00641633
0.0190989, 0.00590305
0.0415966, 0.00733331
0.632394, 0.00238937
0.0123307, 0.00236777
0.0476153, 0.00489823
3.55231, 0.00683242
3.87255, 0.00752871
0.0079123, 0.00800588
0.120897, 0.00332304
4.90812, 0.00784764
0.132259, 0.00185764
0.00718612, 0.00563806
0.0210221, 0.0035176
0.0223146, 0.00765319
0.00571205, 0.00654418
2.93204, 0.00527773
5.70309, 0.00545497
4.78553, 0.00761812
0.114668, 0.00535756
5.37124, 0.0078576
1.16477, 0.00552199
0.0950454, 0.00283632
0.0402046, 0.00514714
1.14368, 0.00787335
0.0268516, 0.0060222
0.324958, 0.00774868
4.15029, 0.00447267
1.41747, 0.00400724
0.348465, 0.00533883
1.44545, 0.0050572
0.0832957, 0.00453312
0.0742999, 0.00399357
1.4353, 0.00682266
0.0200624, 0.00786712
1.95142, 0.00392133
0.00444037, 0.00322883
0.0315786, 0.00513656
2.76339, 0.00858673
0.157096, 0.00404106
1.16456, 0.00583457
2.9427, 0.00349978
2.27832, 0.00629722
0.0457889, 0.00286556
0.0690858, 0.00550261
1.92507, 0.00242932
0.191112, 0.00756463
2.84573, 0.00825162
1.34896, 0.00510099
0.141922, 0.00726924
1.14895, 0.00583077
1.766, 0.00645286
5.6832, 0.0036411
0.803188, 0.00803432
0.0100996, 0.00675146
0.0152294, 0.00781703
0.00983514, 0.00721386
0.0892284, 0.00810395
0.0551621, 0.00710272
0.0525144, 0.00561443
0.145135, 0.0063764
0.0837527, 0.00809337
0.122858, 0.00752838
0.0093465, 0.00396131
7.07261, 0.00482486
0.0413784, 0.00404164
1.45671, 0.00813307
0.00380622, 0.00525488
0.363676, 0.00545567
0.137623, 0.0088238
1.38953, 0.0100765
2.68384, 0.00762257
